Litter Number,Sex,PD ears,PD eyes,PD pivot,PD walk
#3/5/2/2/95,1,4,13,6,8
#3/5/2/2/95,1,4,13,5,8
#3/5/2/2/95,1,4,13,5,8
#3/5/2/2/95,1,4,13,5,8
#5/4/3/83/3,1,4,13,7,10
#5/4/3/83/3,1,4,14,7,9
#5/4/3/83/3,1,4,14,6,9
#5/4/3/83/3,1,4,14,6,10
#5/4/3/83/3,1,4,14,7,9
#1/6/2/2/95-2,1,3,13,7,9
#1/6/2/2/95-2,1,4,13,7,9
#3/5/3/83/3-3-2,1,4,13,8,10
#3/5/3/83/3-3-2,1,4,13,7,9
#3/5/3/83/3-3-2,1,4,13,8,10
#3/5/3/83/3-3-2,1,4,13,8,10
#2/2/95/2,1,5,14,7,9
#2/2/95/2,1,4,14,8,11
#3/6/2/2/95-3,1,3,13,7,9
#3/6/2/2/95-3,1,3,13,7,9
#3/6/2/2/95-3,1,3,13,6,8
#3/6/2/2/95-3,1,3,12,6,8
#3/6/2/2/95-3,1,3,14,6,8
#3/83/3-3,2,3,13,NA,8
#3/83/3-3,2,3,13,4,7
#3/83/3-3,2,3,12,6,8
#2/95/3,2,3,12,6,9
#2/95/3,2,3,13,6,8
#2/95/3,2,4,12,6,9
#2/95/3,2,3,13,6,8
#3/5/2/2/95,2,4,13,6,9
#3/5/2/2/95,2,4,12,5,7
#3/5/2/2/95,2,3,13,5,9
#3/5/2/2/95,2,4,13,5,9
#5/4/3/83/3,2,4,13,7,9
#5/4/3/83/3,2,4,13,7,10
#5/4/3/83/3,2,4,13,7,9
#1/6/2/2/95-2,2,3,13,7,9
#1/6/2/2/95-2,2,3,13,5,8
#1/6/2/2/95-2,2,4,13,7,9
#1/6/2/2/95-2,2,4,13,8,10
#3/5/3/83/3-3-2,2,4,13,4,9
#3/5/3/83/3-3-2,2,4,13,7,9
#3/5/3/83/3-3-2,2,4,13,7,10
#3/5/3/83/3-3-2,2,4,13,7,9
#2/2/95/2,2,4,13,6,8
#2/2/95/2,2,4,13,9,11
#3/6/2/2/95-3,2,3,12,6,8
#3/6/2/2/95-3,2,3,12,7,9
#84/2,1,3,13,5,8
#84/2,1,3,13,7,10
#84/2,1,3,13,4,7
#107,1,4,13,9,11
#107,1,4,13,9,11
#107,1,4,13,10,12
#107,1,4,13,9,11
#107,1,4,13,9,11
#107,1,4,13,9,11
#107,1,4,13,10,12
#85/2,1,4,13,9,11
#85/2,1,4,13,10,12
#98,1,3,13,7,10
#98,1,4,13,9,11
#98,1,4,13,9,11
#98,1,4,13,NA,10
#98,1,3,13,9,11
#102,1,4,13,7,11
#102,1,4,13,9,11
#101,1,3,12,10,12
#101,1,3,13,7,9
#101,1,4,12,6,8
#101,1,4,12,6,11
#111,1,4,13,5,10
#84/2,2,3,13,5,12
#84/2,2,3,13,6,8
#84/2,2,3,12,8,10
#84/2,2,3,13,5,8
#84/2,2,3,13,9,11
#107,2,4,13,8,10
#85/2,2,4,12,9,11
#85/2,2,4,13,10,12
#85/2,2,4,13,9,11
#85/2,2,4,13,10,12
#98,2,2,13,7,10
#98,2,4,13,9,11
#98,2,4,13,7,10
#98,2,3,13,9,11
#102,2,4,14,9,11
#102,2,3,13,8,11
#102,2,3,13,9,11
#102,2,4,13,8,10
#102,2,3,13,9,11
#101,2,3,12,9,12
#101,2,3,14,9,11
#101,2,3,12,6,10
#101,2,4,12,9,11
#101,2,4,12,8,11
#111,2,4,13,5,10
#111,2,4,13,5,10
#59,1,4,14,10,12
#59,1,4,14,8,11
#59,1,4,13,12,12
#103,1,4,13,8,10
#103,1,4,14,7,9
#103,1,3,13,8,10
#1/82/3-2,1,4,13,5,10
#1/82/3-2,1,4,13,NA,8
#3/83/3-2,1,4,13,6,9
#3/83/3-2,1,4,13,6,9
#3/83/3-2,1,4,13,6,8
#3/83/3-2,1,4,13,6,8
#3/83/3-2,1,4,13,6,8
#3/83/3-2,1,4,12,6,9
#2/95/2-2,1,4,13,6,8
#2/95/2-2,1,4,13,6,8
#2/95/2-2,1,4,13,6,8
#2/95/2-2,1,4,13,7,9
#3/82/3-2,1,3,13,6,8
#3/82/3-2,1,4,13,6,8
#4/2/95/2,1,4,14,8,10
#4/2/95/2,1,4,14,NA,11
#4/2/95/2,1,4,14,NA,11
#4/2/95/2,1,4,14,7,9
#5/3/83/5-2,1,4,13,6,10
#5/3/83/5-2,1,4,14,NA,10
#5/3/83/5-2,1,4,14,4,10
#8/110/3-2,1,3,13,6,8
#8/110/3-2,1,3,13,6,8
#8/110/3-2,1,3,13,6,8
#8/110/3-2,1,4,13,6,8
#106,1,3,13,10,12
#94/2,1,NA,13,NA,9
#62,1,5,14,11,13
#62,1,5,15,10,12
#62,1,5,15,11,13
#59,2,4,13,10,12
#59,2,4,13,8,10
#103,2,3,13,7,9
#103,2,3,12,7,9
#103,2,3,13,7,9
#103,2,3,12,7,9
#103,2,3,13,8,10
#103,2,4,13,6,9
#1/82/3-2,2,4,13,8,10
#1/82/3-2,2,4,13,5,10
#1/82/3-2,2,5,13,6,10
#1/82/3-2,2,4,13,8,10
#3/83/3-2,2,4,12,NA,8
#3/83/3-2,2,4,12,6,8
#2/95/2-2,2,4,13,6,9
#2/95/2-2,2,4,13,6,8
#2/95/2-2,2,4,13,5,8
#3/82/3-2,2,4,13,5,8
#3/82/3-2,2,3,12,4,8
#3/82/3-2,2,3,12,6,8
#4/2/95/2,2,4,14,8,11
#4/2/95/2,2,4,14,7,9
#4/2/95/2,2,4,14,7,10
#5/3/83/3-2,2,3,12,NA,8
#5/3/83/3-2,2,3,13,NA,10
#8/110/3-2,2,3,12,4,9
#8/110/3-2,2,3,13,6,8
#8/110/3-2,2,4,14,6,9
#8/110/3-2,2,4,13,6,8
#8/110/3-2,2,4,13,6,8
#106,2,3,14,8,10
#94/2,2,NA,14,11,13
#94/2,2,NA,13,NA,9
#62,2,5,13,10,12
#53,1,4,13,10,12
#53,1,3,13,9,12
#53,1,4,13,8,12
#53,1,3,13,10,12
#53,1,4,13,9,11
#79,1,4,14,9,11
#79,1,4,14,12,14
#79,1,4,14,8,10
#79,1,4,14,6,9
#79,1,4,14,10,13
#100,1,3,13,7,9
#100,1,3,13,8,10
#4/84,1,3,13,7,9
#4/84,1,3,13,6,10
#4/84,1,4,13,7,10
#108,1,3,13,5,7
#108,1,3,12,6,8
#108,1,3,13,6,8
#108,1,3,13,6,8
#99,1,NA,12,8,10
#99,1,NA,13,7,9
#99,1,NA,13,5,9
#99,1,NA,12,6,9
#110,1,NA,12,6,8
#53,2,3,13,11,13
#53,2,4,13,10,12
#79,2,4,13,9,11
#79,2,4,14,12,14
#100,2,4,13,9,11
#100,2,3,13,9,11
#100,2,3,12,9,11
#100,2,3,13,8,10
#100,2,4,12,9,11
#4/84,2,3,13,6,10
#108,2,3,13,6,8
#108,2,3,14,6,8
#108,2,3,13,6,10
#99,2,NA,13,7,9
#110,2,NA,12,7,9
#110,2,NA,12,6,8
#110,2,NA,12,7,9
#110,2,NA,12,7,9
#110,2,NA,12,7,9
#97,1,3,12,7,9
#97,1,3,12,6,8
#97,1,3,12,6,9
#97,1,3,12,7,9
#97,1,3,12,7,9
#97,1,3,12,7,9
#5/93,1,3,12,8,10
#5/93,1,3,13,7,9
#5/93,1,3,13,7,9
#5/93/2,1,4,13,7,9
#7/82/3-2,1,3,12,6,8
#7/82/3-2,1,4,13,5,8
#7/82/3-2,1,3,13,6,8
#7/110/3-2,1,3,14,8,10
#7/110/3-2,1,3,14,8,10
#7/110/3-2,1,4,14,8,10
#7/110/3-2,1,3,14,7,10
#7/110/3-2,1,3,14,8,10
#7/110/3-2,1,3,14,8,10
#2/95/2,1,4,13,7,9
#2/95/2,1,4,13,7,9
#2/95/2,1,4,13,7,9
#82/4,1,4,13,8,10
#82/4,1,3,13,7,9
#82/4,1,4,13,7,9
#97,2,3,12,7,9
#97,2,3,12,6,8
#5/93,2,4,13,7,9
#5/93,2,3,12,7,9
#5/93,2,4,13,7,9
#5/93,2,3,13,7,9
#5/93,2,3,12,7,9
#5/93,2,3,12,7,9
#5/93/2,2,4,14,7,9
#5/93/2,2,5,14,7,9
#5/93/2,2,4,13,7,9
#5/93/2,2,5,14,7,9
#5/93/2,2,4,13,7,9
#5/93/2,2,4,14,6,9
#5/93/2,2,5,13,7,9
#7/82/3-2,2,3,13,6,8
#7/82/3-2,2,3,12,6,8
#7/82/3-2,2,3,12,6,8
#7/82/3-2,2,3,12,6,8
#7/110/3-2,2,4,14,8,10
#7/110/3-2,2,4,14,7,9
#2/95/2,2,4,12,7,9
#2/95/2,2,4,12,6,8
#2/95/2,2,4,13,7,9
#2/95/2,2,4,12,7,9
#2/95/2,2,3,13,6,8
#2/95/2,2,3,13,7,9
#82/4,2,4,13,7,9
#82/4,2,3,13,7,9
#82/4,2,3,13,7,9
